name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics
AMD Ryzen 7 7800X3D,448.01,8,4.2,5,Zen 4,120,Radeon
AMD Ryzen 5 7600X,199.99,6,4.7,5.3,Zen 4,105,Radeon
AMD Ryzen 5 5600X,127,6,3.7,4.6,Zen 3,65,
AMD Ryzen 7 7700X,264.49,8,4.5,5.4,Zen 4,105,Radeon
AMD Ryzen 5 7600,198,6,3.8,5.1,Zen 4,65,Radeon
AMD Ryzen 9 7950X3D,599,16,4.2,5.7,Zen 4,120,Radeon
AMD Ryzen 5 5600,123,6,3.5,4.4,Zen 3,65,
AMD Ryzen 7 5800X,164.62,8,3.8,4.7,Zen 3,105,
Intel Core i5-12400F,111.99,6,2.5,4.4,Alder Lake,65,
AMD Ryzen 5 5500,87,6,3.6,4.2,Zen 3,65,
Intel Core i7-14700K,354.99,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770
Intel Core i9-14900K,445,24,3.2,6,Raptor Lake Refresh,125,Intel UHD Graphics 770
AMD Ryzen 9 7900X,399.99,12,4.7,5.6,Zen 4,170,Radeon
AMD Ryzen 7 5700X3D,209.99,8,3,4.1,Zen 3,105,
Intel Core i7-12700K,189,12,3.6,5,Alder Lake,125,Intel UHD Graphics 770
AMD Ryzen 5 3600,89.95,6,3.6,4.2,Zen 2,65,
Intel Core i5-12600KF,134.99,10,3.7,4.9,Alder Lake,125,
AMD Ryzen 9 9950X,623.28,16,4.3,5.7,Zen 5,170,Radeon
AMD Ryzen 7 5700X,160.83,8,3.4,4.6,Zen 3,65,
AMD Ryzen 9 5900X,258.27,12,3.7,4.8,Zen 3,105,
AMD Ryzen 9 7900X3D,499.99,12,4.4,5.6,Zen 4,120,Radeon
AMD Ryzen 7 9700X,331.47,8,3.8,5.5,Zen 5,65,Radeon
Intel Core i7-12700KF,166,12,3.6,5,Alder Lake,125,
Intel Core i9-14900KS,635,24,3.2,6.2,Raptor Lake Refresh,150,Intel UHD Graphics 770
AMD Threadripper 3990X,2929.99,64,2.9,4.3,Zen 2,280,
AMD Ryzen 7 5800X3D,449,8,3.4,4.5,Zen 3,105,
Intel Core i9-12900K,264.99,16,3.2,5.2,Alder Lake,125,Intel UHD Graphics 770
Intel Core i7-13700K,309,16,3.4,5.4,Raptor Lake,125,Intel UHD Graphics 770
AMD Ryzen 5 7500F,,6,3.7,5,Zen 4,65,
Intel Core i5-12600K,159,10,3.7,4.9,Alder Lake,125,Intel UHD Graphics 770
AMD Ryzen 5 4500,69.99,6,3.6,4.1,Zen 2,65,
AMD Ryzen 7 3700X,143.92,8,3.6,4.4,Zen 2,65,
Intel Core i3-12100F,83.62,4,3.3,4.3,Alder Lake,58,
AMD Ryzen 5 5600G,139,6,3.9,4.4,Zen 3,65,Radeon Vega 7
AMD Ryzen 9 7950X,499.99,16,4.5,5.7,Zen 4,170,Radeon
Intel Core i5-13600K,235,14,3.5,5.1,Raptor Lake,125,Intel UHD Graphics 770
Intel Core i7-14700KF,327,20,3.4,5.6,Raptor Lake Refresh,125,
AMD Ryzen 7 7700,280,8,3.6,5.3,Zen 4,65,Radeon
Intel Core i9-13900K,416,24,3,5.8,Raptor Lake,125,Intel UHD Graphics 770
AMD Ryzen 5 8500G,149,6,4.1,5,Zen 4,65,Radeon 740M
Intel Core i5-13400F,169,10,2.5,4.6,Raptor Lake,65,
AMD Ryzen 9 5950X,318.1,16,3.4,4.9,Zen 3,105,
AMD Ryzen 5 8600G,169.74,6,4.3,5,Zen 4,65,Radeon 760M
AMD Ryzen 9 9900X,439,12,4.4,5.6,Zen 5,120,Radeon
Intel Core i9-14900KF,417.99,24,3.2,6,Raptor Lake Refresh,125,
AMD Ryzen 5 9600X,279,6,3.9,5.4,Zen 5,65,Radeon
AMD Ryzen 7 5700G,167.31,8,3.8,4.6,Zen 3,65,Radeon Vega 8
Intel Core i7-13700KF,260,16,3.4,5.4,Raptor Lake,125,
Intel Core i5-14600K,234.99,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770
AMD Ryzen 5 7600X3D,,6,4.1,4.7,Zen 4,65,Radeon
Intel Core i5-13600KF,207,14,3.5,5.1,Raptor Lake,125,
AMD Ryzen 7 8700G,279,8,4.2,5.1,Zen 4,65,Radeon 780M
Intel Core i5-10400F,99.47,6,2.9,4.3,Comet Lake,65,
Intel Core i5-14400F,176.79,10,2.5,4.7,Raptor Lake Refresh,65,
Intel Core i5-12400,136.57,6,2.5,4.4,Alder Lake,65,Intel UHD Graphics 730
AMD Ryzen 5 2600,140,6,3.4,3.9,Zen+,65,
Intel Core i5-14600KF,229,14,3.5,5.3,Raptor Lake Refresh,125,
AMD Ryzen 5 7500F,,6,3.7,5,Zen 4,65,
AMD Ryzen 3 4100,68.98,4,3.8,4,Zen 2,65,
AMD Ryzen 9 7900,369,12,3.6,5.4,Zen 4,65,Radeon
Intel Core i7-9700K,235,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630
AMD Ryzen 5 4600G,104,6,3.7,4.2,Zen 2,65,Radeon Vega 7
AMD Ryzen 3 3200G,69.81,4,3.6,4,Zen+,65,Radeon Vega 8
Intel Core i9-12900KF,244.99,16,3.2,5.2,Alder Lake,125,
Intel Core i7-8700K,170,6,3.7,4.7,Coffee Lake,95,Intel UHD Graphics 630
Intel Celeron E1400,14,2,2,,Core,65,
AMD Ryzen 5 3600X,190,6,3.8,4.4,Zen 2,95,
Intel Core i9-9900K,380,8,3.6,5,Coffee Lake Refresh,95,Intel UHD Graphics 630
AMD Ryzen 7 2700X,184,8,3.7,4.3,Zen+,105,
AMD Ryzen 9 3900X,375,12,3.8,4.6,Zen 2,105,
Intel Core i7-14700F,320.68,20,2.1,5.4,Raptor Lake Refresh,65,
Intel Core i7-7700K,148,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630
AMD Ryzen 5 5600GT,125,6,3.6,4.6,Zen 3,65,Radeon Vega 7
AMD Threadripper 3970X,1535,32,3.7,4.5,Zen 2,280,
Intel Core i7-10700K,236,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630
Intel Core i5-11400F,100,6,2.6,4.4,Rocket Lake,65,
Intel Core i3-10100F,68.9,4,3.6,4.3,Comet Lake,65,
Intel Core i7-12700F,248.99,12,2.1,4.9,Alder Lake,65,
AMD Ryzen 5 5500GT,103.48,6,3.6,4.4,Zen 3,65,Radeon Vega 7
AMD Ryzen 7 3800X,210.99,8,3.9,4.5,Zen 2,105,
Intel Core i5-9400F,114.99,6,2.9,4.1,Coffee Lake Refresh,65,
AMD Ryzen 3 3100,74.23,4,3.6,3.9,Zen 2,65,
AMD Ryzen 5 3400G,99.5,4,3.7,4.2,Zen+,65,Radeon Vega 11
Intel Core i7-6700K,165,4,4,4.2,Skylake,91,Intel HD Graphics 530
Intel Core i9-13900KF,389,24,3,5.8,Raptor Lake,125,
Intel Core i3-12100,115.98,4,3.3,4.3,Alder Lake,60,Intel UHD Graphics 730
AMD Ryzen 5 8400F,160.34,6,4.2,4.7,Zen 4,65,
Intel Core i5-14500,234.99,14,2.6,5,Raptor Lake Refresh,65,Intel UHD Graphics 770
AMD Ryzen 7 8700F,244.99,8,4.1,5,Zen 4,65,
Intel Core i5-6500,58.32,4,3.2,3.6,Skylake,65,Intel HD Graphics 530
Intel Core i7-11700K,247.93,8,3.6,5,Rocket Lake,125,Intel UHD Graphics 750
Intel Core i9-12900KS,349,16,3.4,5.5,Alder Lake,150,Intel UHD Graphics 770
Intel Core i3-13100F,79.98,4,3.4,4.5,Raptor Lake,58,
AMD Ryzen 5 2600X,175,6,3.6,4.2,Zen+,95,
Intel Core i5-8400,75.34,6,2.8,4,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i5-9600K,126,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630
Intel Core i3-14100F,90.03,4,3.5,4.7,Raptor Lake Refresh,58,
Intel Core i5-13400,169.99,10,2.5,4.6,Raptor Lake,65,Intel UHD Graphics 730
Intel Core i9-11900K,270,8,3.5,5.3,Rocket Lake,125,Intel UHD Graphics 750
Intel Core i7-8700,157.01,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i9-13900KS,529.99,24,3,6,Raptor Lake,150,Intel UHD Graphics 770
Intel Core i5-10400,123.59,6,2.9,4.3,Comet Lake,65,Intel UHD Graphics 630
Intel Core i9-10900K,488.99,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630
AMD Ryzen 9 3950X,485.95,16,3.5,4.7,Zen 2,105,
Intel Core i7-4790K,,4,4,4.4,Haswell Refresh,88,Intel HD Graphics 4600
Intel Core i7-7700,100,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630
Intel Core i7-14700,329.99,20,2.1,5.4,Raptor Lake Refresh,65,Intel UHD Graphics 770
Intel Core i7-13700F,299.99,16,2.1,5.2,Raptor Lake,65,
AMD Threadripper 3960X,1070,24,3.8,4.5,Zen 2,280,
Intel Core i5-13500,243.99,14,2.5,4.8,Raptor Lake,65,Intel UHD Graphics 770
Intel Core i5-10600K,138.9,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630
AMD Ryzen 5 7600X3D,,6,4.1,4.7,Zen 4,65,Radeon
AMD Ryzen 5 1600 (12nm),120,6,3.2,3.6,Zen+,65,
Intel Core i7-6700,120,4,3.4,4,Skylake,65,Intel HD Graphics 530
AMD Ryzen 5 3600,,6,3.6,4.2,Zen 2,65,
Intel Core i7-12700,259,12,2.1,4.9,Alder Lake,65,Intel UHD Graphics 770
AMD Ryzen 7 5800XT,238.99,8,3.8,4.8,Zen 3,105,
Intel Core i7-10700F,217.95,8,2.9,4.8,Comet Lake,65,
AMD Ryzen 9 5900XT,324.99,16,3.3,4.8,Zen 3,105,
Intel Core i9-10850K,260,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630
Intel Core i5-6600K,93,4,3.5,3.9,Skylake,91,Intel HD Graphics 530
Intel Core i3-14100,136.06,4,3.5,4.7,Raptor Lake Refresh,60,Intel UHD Graphics 730
Intel Core i5-10600KF,100,6,4.1,4.8,Comet Lake,125,
Intel Core i7-3770,64.78,4,3.4,,Ivy Bridge,77,Intel HD Graphics 4000
AMD Ryzen 7 2700,180,8,3.2,4.1,Zen+,65,
Intel Core i7-4770,56.68,4,3.4,3.9,Haswell,84,Intel HD Graphics 4600
Intel Core i9-14900F,521.66,24,2,5.8,Raptor Lake Refresh,65,
Intel Core i5-4690K,54,4,3.5,3.9,Haswell Refresh,88,Intel HD Graphics 4600
Intel Core i5-8600K,125,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630
AMD Ryzen 7 3700X,,8,3.6,4.4,Zen 2,65,
Intel Core i5-14400,213.56,10,2.5,4.7,Raptor Lake Refresh,65,Intel UHD Graphics 730
Intel Core i7-9700,225,8,3,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630
Intel Core i5-7500,64.78,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630
Intel Core i5-11400,129.99,6,2.6,4.4,Rocket Lake,65,Intel UHD Graphics 730
AMD Ryzen 3 2200G,110,4,3.5,3.7,Zen,65,Radeon Vega 8
Intel Core i3-10100,86.99,4,3.6,4.3,Comet Lake,65,Intel UHD Graphics 630
Intel Core i9-9900KF,283,8,3.6,5,Coffee Lake Refresh,95,
Intel Core i5-11600K,174.9,6,3.9,4.9,Rocket Lake,125,Intel UHD Graphics 750
AMD EPYC 4564P,699.99,16,4.5,5.7,Zen 4,170,Radeon
AMD Ryzen 5 3500X,,6,3.6,4.1,Zen 2,65,
Intel Core i3-7350K,49.99,2,4.2,,Kaby Lake,60,Intel HD Graphics 630
Intel Xeon E5-2687W V4,2192,12,3,3.5,Broadwell,160,
Intel Core i7-6950X,,10,3,3.5,Broadwell,140,
Intel Core i7-10700,395.29,8,2.9,4.8,Comet Lake,65,Intel UHD Graphics 630
AMD Ryzen 9 3950X,2146.98,16,3.5,4.7,Zen 2,105,
Intel Core i5-12500,189.99,6,3,4.6,Alder Lake,65,Intel UHD Graphics 770
AMD Ryzen 7 5700,,8,3.7,4.6,Zen 3,65,
Intel Xeon E5-2630 V2,,6,2.6,3.1,Ivy Bridge,80,
Intel Core i7-11700F,260.87,8,2.5,4.9,Rocket Lake,65,
Intel Core i9-10900KF,249,10,3.7,5.3,Comet Lake,125,
Intel Core i5-7400,70,4,3,3.5,Kaby Lake,65,Intel HD Graphics 630
AMD Ryzen 3 1200 (14nm),95,4,3.1,3.4,Zen,65,
AMD Ryzen 7 1700,195,8,3,3.7,Zen,65,
Intel Core i7-4770K,75,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600
AMD Ryzen 5 5600X3D,,6,3.3,4.4,Zen 3,105,
Intel Core i7-13700,344.5,16,2.1,5.2,Raptor Lake,65,Intel UHD Graphics 770
AMD Ryzen 5 2400G,135,4,3.6,3.9,Zen,65,Radeon Vega 11
Intel Core i7-9700F,273,8,3,4.7,Coffee Lake Refresh,65,
Intel Core i7-10700KF,220,8,3.8,5.1,Comet Lake,125,
AMD Ryzen 5 1600 (14nm),249.85,6,3.2,3.6,Zen,65,
Intel Core i7-4790,139.94,4,3.6,4,Haswell Refresh,84,Intel HD Graphics 4600
Intel Xeon E5-2699 V4,389.43,22,2.2,3.6,Broadwell,145,
Intel Core i9-14900,573.99,24,2,5.8,Raptor Lake Refresh,65,Intel UHD Graphics 770
AMD Ryzen 9 3900XT,325,12,3.8,4.7,Zen 2,105,
Intel Celeron G6900,79.98,2,3.4,,Alder Lake,46,Intel UHD Graphics 710
Intel Core i7-11700KF,229.14,8,3.6,5,Rocket Lake,125,
Intel Core i9-11900KF,259,8,3.5,5.3,Rocket Lake,125,
Intel Core i3-10105F,83.21,4,3.7,4.4,Comet Lake,65,
AMD Ryzen 5 1600X,125,6,3.6,4,Zen,95,
Intel Core i3-8100,148,4,3.6,,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i3-9100F,115,4,3.6,4.2,Coffee Lake Refresh,65,
Intel Core i9-9900KS,1499,8,4,5,Coffee Lake Refresh,127,Intel UHD Graphics 630
AMD A6-6400K,,2,3.9,,Piledriver,65,Radeon HD 8470D
Intel Xeon E5-2630,42.48,6,2.3,,Sandy Bridge,95,
Intel Core i5-3470,68.97,4,3.2,,Ivy Bridge,77,Intel HD Graphics 2500
Intel Core i5-8500,130.25,6,3,4.1,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i5-7600K,135,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630
Intel Core i7-3770K,150,4,3.5,,Ivy Bridge,77,Intel HD Graphics 4000
Intel Core i5-4590,,4,3.3,3.7,Haswell Refresh,84,Intel HD Graphics 4600
Intel Core i7-9700KF,205,8,3.6,4.9,Coffee Lake Refresh,95,
AMD FX-8350,85,8,4,,Piledriver,125,
Intel Core i3-4130,41,2,3.4,,Haswell,54,Intel HD Graphics 4400
Intel Core i5-11600KF,145,6,3.9,4.9,Rocket Lake,125,
AMD Ryzen 7 1700X,195,8,3.4,3.8,Zen,95,
Intel Core i5-4460,68.56,4,3.2,3.4,Haswell Refresh,84,Intel HD Graphics 4600
AMD Ryzen 5 3600XT,261.75,6,3.8,4.5,Zen 2,95,
Intel Core i3-13100,126.99,4,3.4,4.5,Raptor Lake,60,Intel UHD Graphics 730
AMD Ryzen 5 3500,,6,3.6,4.1,Zen 2,65,
Intel Pentium E5700,14.99,2,3,,Wolfdale,65,
Intel Core i7-11700,317.01,8,2.5,4.9,Rocket Lake,65,Intel UHD Graphics 750
Intel Core i9-10980XE,815,18,3,4.8,Cascade Lake,165,
Intel Core i5-9400,133.93,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630
AMD Ryzen 5 1400,110,4,3.2,3.4,Zen,65,
AMD Threadripper 1920X,250,12,3.5,4,Zen,180,
AMD Athlon X4 845,35,4,3.5,3.8,Puma+,65,
AMD Ryzen 3 3300X,140.99,4,3.8,4.3,Zen 2,65,
Intel Core i9-13900,485,24,2,5.6,Raptor Lake,65,Intel UHD Graphics 770
AMD FX-6300,,6,3.5,,Piledriver,95,
Intel Xeon E5-2650 V4,79,12,2.2,2.9,Broadwell,105,
Intel Core i5-4570,98,4,3.2,,Haswell,84,Intel HD Graphics 4600
Intel Core i5-6400,,4,2.7,3.3,Skylake,65,Intel HD Graphics 530
Intel Core i5-9600KF,170,6,3.7,4.6,Coffee Lake Refresh,95,
Intel Core i7-8700K,272.5,6,3.7,4.7,Coffee Lake,95,Intel UHD Graphics 630
Intel Core 2 Duo E8400,27.55,2,3,,Wolfdale,65,
Intel Core i5-2400,79.25,4,3.1,,Sandy Bridge,95,Intel HD Graphics 2000
Intel Core i5-4690,56,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics 4600
Intel Core i9-13900F,469.37,24,2,5.6,Raptor Lake,65,
Intel Core i3-6100,85,2,3.7,,Skylake,51,Intel HD Graphics 530
Intel Core i7-2600,143.68,4,3.4,,Sandy Bridge,95,Intel HD Graphics 2000
Intel Core i9-11900F,229.99,8,2.5,5.2,Rocket Lake,65,
Intel Core i9-7900X,325,10,3.3,4.5,Skylake,140,
Intel Celeron G5900,48.32,2,3.4,,Comet Lake,58,Intel UHD Graphics 610
AMD Athlon 3000G (14nm),,2,3.5,,Zen,35,Radeon Vega 3
Intel Core i9-10900F,259.99,10,2.8,5.2,Comet Lake,65,
AMD Ryzen 5 1500X,195,4,3.5,3.7,Zen,65,
AMD Ryzen 5 3600,,6,3.6,4.2,Zen 2,65,
Intel Core i7-6800K,90,6,3.4,3.6,Broadwell,140,
AMD Ryzen 7 3800XT,351.99,8,3.9,4.7,Zen 2,105,
AMD Ryzen 7 1800X,235,8,3.6,4,Zen,95,
Intel Core i3-10105,86.43,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630
Intel Core i5-10500,255.24,6,3.1,4.5,Comet Lake,65,Intel UHD Graphics 630
AMD Ryzen 9 3900X,,12,3.8,4.6,Zen 2,105,
Intel Xeon E5-2680 V4,1975,14,2.4,3.3,Broadwell,120,
Intel Core i9-12900F,336.07,16,2.4,5.1,Alder Lake,65,
AMD Athlon II X2 240,29.48,2,2.8,,K10,65,
Intel Core i5-9500,115.83,6,3,4.4,Coffee Lake Refresh,65,Intel UHD Graphics 630
Intel Core i7-4790K,145,4,4,4.4,Haswell Refresh,88,Intel HD Graphics 4600
Intel Core i5-3570K,139,4,3.4,,Ivy Bridge,77,Intel HD Graphics 4000
Intel Core i5-7500T,58.84,4,2.7,3.3,Kaby Lake,35,Intel HD Graphics 630
Intel Core i9-10900X,565,10,3.7,4.7,Cascade Lake,165,
Intel Core i5-7600,79.65,4,3.5,4.1,Kaby Lake,65,Intel HD Graphics 630
Intel Core i5-12600,249.99,6,3.3,4.8,Alder Lake,65,Intel UHD Graphics 770
Intel Celeron G4900,48.59,2,3.1,,Coffee Lake,65,Intel UHD Graphics 610
Intel Core i5-4670K,62,4,3.4,,Haswell,84,Intel HD Graphics 4600
AMD Threadripper 1950X,721.95,16,3.4,4,Zen,180,
Intel Core i5-6600,,4,3.3,3.9,Skylake,65,Intel HD Graphics 530
Intel Core i3-7100,60.46,2,3.9,,Kaby Lake,51,Intel HD Graphics 630
Intel Pentium G640,30,2,2.8,,Sandy Bridge,65,Intel HD Graphics
AMD A6-9500,40,2,3.5,3.8,Excavator,65,Radeon R5 (on die)
AMD Ryzen 9 PRO 7945,,12,3.7,5.4,Zen 4,65,Radeon
AMD Threadripper 2990WX,2705.25,32,3,4.2,Zen+,250,
Intel Core i3-9100,107,4,3.6,4.2,Coffee Lake Refresh,65,Intel UHD Graphics 630
Intel Core i9-9900K,954.81,8,3.6,5,Coffee Lake Refresh,95,Intel UHD Graphics 630
Intel Core i9-12900,412,16,2.4,5.1,Alder Lake,65,Intel UHD Graphics 770
Intel 300,113.78,2,3.9,,Raptor Lake Refresh,46,Intel UHD Graphics 710
Intel Core i7-2600K,79,4,3.4,,Sandy Bridge,95,Intel HD Graphics 3000
Intel Core i5-3570,,4,3.4,,Ivy Bridge,77,Intel HD Graphics 2500
Intel Core i7-4790,,4,3.6,4,Haswell Refresh,84,Intel HD Graphics 4600
Intel Core i7-7740X,119.95,4,4.3,4.5,Kaby Lake,112,
AMD EPYC 4244P,242.99,6,3.8,5.1,Zen 4,65,Radeon
AMD Athlon 200GE,99.99,2,3.2,,Zen,35,Radeon Vega 3
Intel Celeron 420,75.44,1,1.6,,Core,35,
Intel Core i5-11600,140,6,2.8,4.8,Rocket Lake,65,Intel UHD Graphics 750
Intel Core i7-5820K,,6,3.3,3.6,Haswell,140,
Intel Core i7-8700,334.95,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i7-6900K,120,8,3.2,3.7,Broadwell,140,
Intel Core i9-9980XE,1498.95,18,3,4.4,Skylake,165,
Intel Core i5-11500,166.83,6,2.7,4.6,Rocket Lake,65,Intel UHD Graphics 750
Intel Core i5-2500K,,4,3.3,,Sandy Bridge,95,Intel HD Graphics 3000
Intel Core i3-4170,,2,3.7,,Haswell Refresh,54,Intel HD Graphics 4400
Intel Core i9-10900,,10,2.8,5.2,Comet Lake,65,Intel UHD Graphics 630
Intel Core i7-8086K,,6,4,5,Coffee Lake,95,Intel UHD Graphics 630
Intel Pentium Gold G7400,120.36,2,3.7,,Alder Lake,46,Intel UHD Graphics 710
AMD EPYC 4464P,449.99,12,3.7,5.4,Zen 4,65,Radeon
Intel Core i5-9400F,,6,2.9,4.1,Coffee Lake Refresh,65,
Intel Core i7-7800X,399.99,6,3.5,4,Skylake,140,
Intel Core i7-7700,120,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630
Intel Core i5-8600,113.37,6,3.1,4.3,Coffee Lake,65,Intel UHD Graphics 630
AMD Ryzen 3 3200G,,4,3.6,4,Zen+,65,Radeon Vega 8
Intel Core i9-9900,604.23,8,3.1,5,Coffee Lake Refresh,65,Intel UHD Graphics 630
Intel Core i9-9900K (Standard Folding Box),380,8,3.6,5,Coffee Lake Refresh,95,Intel UHD Graphics 630
Intel Core i5-8400,249.95,6,2.8,4,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i3-4150,40,2,3.5,,Haswell Refresh,54,Intel HD Graphics 4400
Intel Core i9-9980XE,1814.98,18,3,4.4,Skylake,165,
Intel Celeron G3900,39.9,2,2.8,,Skylake,51,Intel HD Graphics 510
AMD FX-8320,153,8,3.5,,Piledriver,125,
AMD 2650,,2,1.45,,Jaguar,25,Radeon HD 8240
AMD Ryzen 5 2600,,6,3.4,3.9,Zen+,65,
Intel Core i5-6500,129.94,4,3.2,3.6,Skylake,65,Intel HD Graphics 530
AMD Ryzen 7 3800X,,8,3.9,4.5,Zen 2,105,
Intel Core i7-4930K,98,6,3.4,3.9,Ivy Bridge,130,
Intel Xeon E5-2630 V3,169.95,8,2.4,3.2,Haswell,85,
AMD Threadripper 2920X,750,12,3.5,4.3,Zen+,180,
AMD Ryzen 5 3600,,6,3.6,4.2,Zen 2,65,
Intel Core i9-11900,269.77,8,2.5,5.2,Rocket Lake,65,Intel UHD Graphics 750
Intel Core i5-8500T,234.99,6,2.1,3.5,Coffee Lake,35,Intel UHD Graphics 630
AMD Ryzen 3 1300X,,4,3.5,3.7,Zen,65,
Intel Core i3-10300,75,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630
AMD Threadripper 2950X,,16,3.5,4.4,Zen+,180,
Intel Pentium Gold G6400,73.51,2,4,,Comet Lake,58,Intel UHD Graphics 610
Intel Core i5-4440,100,4,3.1,3.3,Haswell,84,Intel HD Graphics 4600
Intel Core i7-7700K,,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630
Intel Core i7-4820K,192.02,4,3.7,3.9,Ivy Bridge,130,
Intel Core i9-10920X,899,12,3.5,4.8,Cascade Lake,165,
Intel Core i3-12100T,,4,2.2,4.1,Alder Lake,35,Intel UHD Graphics 730
Intel Core i7-2700K,88.99,4,3.5,,Sandy Bridge,95,Intel HD Graphics 3000
Intel Xeon E5-2683 V4,1998.95,16,2.1,3,Broadwell,120,
Intel Core i7-3930K,268.89,6,3.2,,Sandy Bridge,130,
AMD FX-9590,302.58,8,4.7,5,Piledriver,220,
Intel Core i7-9700K,,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630
AMD FX-8300,111.37,8,3.3,,Piledriver,95,
AMD Ryzen 3 1200 (12nm),95,4,3.1,3.4,Zen+,65,
Intel Xeon E5-2620,36.75,6,2,,Sandy Bridge,95,
Intel Xeon E5-1650 V4,79.95,6,3.6,4,Broadwell,140,
Intel Core i9-13900T,,24,1.1,5.3,Raptor Lake,35,Intel UHD Graphics 770
Intel Core i7-7820X,,8,3.6,4.5,Skylake,140,
Intel Core i5-10600,535.43,6,3.3,4.8,Comet Lake,65,Intel UHD Graphics 630
AMD EPYC 4344P,349.99,8,3.8,5.3,Zen 4,65,Radeon
AMD FX-8370,257.01,8,4,4.3,Piledriver,125,
Intel Xeon E5-2667 V3,1498.95,8,3.2,3.6,Haswell,135,
Intel Core i5-13500T,,14,1.6,4.6,Raptor Lake,35,Intel UHD Graphics 770
Intel Core i3-4370,41.13,2,3.8,,Haswell Refresh,54,Intel HD Graphics 4600
AMD A4-6300,46.79,2,3.7,3.9,Piledriver,65,Radeon HD 8370D
Intel Core i9-7980XE,979.95,18,2.6,4.4,Skylake,165,
Intel Core i3-2100,49,2,3.1,,Sandy Bridge,65,Intel HD Graphics 2000
