name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics
Intel Core i7-6850K,105,6,3.6,3.8,Broadwell,140,
Intel Core i5-2500,,4,3.3,,Sandy Bridge,95,Intel HD Graphics 2000
Intel Core i3-3220,,2,3.3,,Ivy Bridge,55,Intel HD Graphics 2500
Intel Core i7-6700,395.05,4,3.4,4,Skylake,65,Intel HD Graphics 530
Intel Core i5-4670,125.86,4,3.4,,Haswell,84,Intel HD Graphics 4600
AMD FX-6100,72.8,6,3.3,,Bulldozer,95,
Intel Core i5-3470S,44.94,4,2.9,,Ivy Bridge,65,Intel HD Graphics 2500
Intel Core i9-10940X,720,14,3.3,4.8,Cascade Lake,165,
Intel Core i3-530,40,2,2.93,,Westmere,73,Intel HD Graphics
Intel Core i7-6700K,,4,4,4.2,Skylake,91,Intel HD Graphics 530
Intel Core i3-2120,169.99,2,3.3,,Sandy Bridge,65,Intel HD Graphics 2000
Intel Celeron E3500,14.99,2,2.7,,Wolfdale,65,
Intel Core i7-4960X Extreme Edition,760,6,3.6,4,Ivy Bridge,130,
Intel Pentium Gold G5400,72.95,2,3.7,,Coffee Lake,58,Intel UHD Graphics 610
Intel Core i7-13700T,,16,1.4,4.9,Raptor Lake,35,
Intel Pentium E2220,19.98,2,2.4,,Core,65,
AMD Ryzen 5 3600X,,6,3.8,4.4,Zen 2,95,
AMD A10-6700,78.02,4,3.7,,Piledriver,65,Radeon HD 8670D
Intel Core i5-9600K,,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630
AMD Ryzen 5 2600X,,6,3.6,4.2,Zen+,95,
AMD Threadripper 1900X,,8,3.8,4,Zen,180,
Intel Pentium G2020,34.99,2,2.9,,Ivy Bridge,55,Intel HD Graphics
Intel Pentium G4560,163.46,2,3.5,,Kaby Lake,54,Intel HD Graphics 610
Intel Core i7-5960X,,8,3,3.5,Haswell,140,
Intel Core 2 Quad Q9550,52.55,4,2.83,,Yorkfield,95,
Intel Xeon E3-1275 V5,,4,3.6,4,Skylake,80,Intel HD Graphics P530
Intel Xeon E5-4620,57.95,8,2.2,2.6,Sandy Bridge,95,
Intel Pentium Gold G6500,62.95,2,4.1,,Comet Lake,58,Intel UHD Graphics 630
Intel Xeon E5-2690 V4,,14,2.6,3.5,Broadwell,135,
Intel Core i7-9700,280,8,3,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630
Intel Core i7-9700F,395.34,8,3,4.7,Coffee Lake Refresh,65,
AMD 5350,,4,2.05,,Jaguar,25,Radeon HD 8400
Intel Core i7-5930K,,6,3.5,3.7,Haswell,140,
Intel Pentium G3258,51.36,2,3.2,,Haswell Refresh,53,Intel HD Graphics
Intel Core i5-8600K,,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630
Intel Core i9-7920X,399.79,12,2.9,4.4,Skylake,140,
Intel Core i3-8100T,85,4,3.1,,Coffee Lake,35,Intel UHD Graphics 630
AMD FX-6120,58.53,6,3.5,4.1,Bulldozer,95,
Intel Core i5-9600,160,6,3.1,4.6,Coffee Lake Refresh,65,Intel UHD Graphics 630
AMD FX-8350,192.57,8,4,,Piledriver,125,
Intel Celeron G5925,90.04,2,3.6,,Comet Lake,58,Intel UHD Graphics 610
AMD Ryzen 5 3400G,,4,3.7,4.2,Zen+,65,Radeon Vega 11
Intel Xeon E5-2640,41.45,6,2.5,3,Sandy Bridge,95,
Intel Core i7-4770K,218.79,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600
AMD FX-6350,,6,3.9,,Piledriver,125,
Intel Core i3-13100T,,4,2.5,4.2,Raptor Lake,35,Intel UHD Graphics 730
AMD Ryzen 9 3900,,12,3.1,,Zen 2,65,
Intel Celeron G4930,49.99,2,3.2,,Coffee Lake,54,Intel UHD Graphics 610
Intel Core i5-3330,,4,3,,Ivy Bridge,77,Intel HD Graphics 2500
AMD FX-4300,,4,3.8,,Piledriver,95,
AMD Athlon II X4 640,57.01,4,3,,K10,95,
Intel Core i3-7320,42,2,4.1,,Kaby Lake,51,Intel HD Graphics 630
AMD A8-6600K,92.86,4,3.9,,Piledriver,100,Radeon HD 8570D
Intel Core i7-8700T,199,6,2.4,4,Coffee Lake,35,Intel UHD Graphics 630
Intel Core i7-3820,,4,3.6,,Sandy Bridge,130,
Intel Core i3-9350KF,156,4,4,4.6,Coffee Lake Refresh,91,
AMD A10-7850K,139.84,4,3.7,4,Steamroller,95,Radeon R7 (on-die)
Intel Xeon E5-2697 V4,,18,2.3,3.6,Broadwell,145,
Intel Core i7-4770S,119,4,3.1,,Haswell,65,Intel HD Graphics 4600
Intel Celeron G4900,72.55,2,3.1,,Coffee Lake,65,Intel UHD Graphics 610
Intel Xeon E5-2650,67.98,8,2,2.8,Sandy Bridge,95,
Intel Core i5-3450,95,4,3.1,,Ivy Bridge,77,Intel HD Graphics 2500
AMD Athlon X2 370K,,2,4.2,,Piledriver,65,
Intel Xeon E5-2699 V3,,18,2.3,3.6,Haswell,145,
AMD Ryzen 5 PRO 7645,,6,3.8,5.1,Zen 4,65,Radeon
Intel Xeon E5-2683 V4,497.09,16,2.1,3,Broadwell,120,
Intel Celeron 440,29.92,1,2,,Core,35,
AMD A8-7600,,4,3.1,3.8,Steamroller,65,Radeon R7 (on-die)
AMD EPYC 4364P,405.99,8,4.5,5.4,Zen 4,105,Radeon
Intel Xeon E5-1630 V4,229.95,4,3.7,4,Broadwell,140,
AMD Ryzen 7 1700X,,8,3.4,3.8,Zen,95,
AMD Athlon II 160u,,1,1.8,,K10,20,
Intel Core i7-920,90,4,2.66,,Nehalem,130,
AMD Athlon X2 340,,2,3.2,,Piledriver,65,
Intel Celeron G5905,,2,3.5,,Comet Lake,58,Intel UHD Graphics 610
Intel Pentium E6600,50,2,3.06,,Wolfdale,65,
AMD Ryzen 5 2400G,,4,3.6,3.9,Zen,65,Radeon Vega 11
Intel Pentium G4400,131.51,2,3.3,,Skylake,54,Intel HD Graphics 510
Intel Core i7-10700K Avengers Collector's Edition,210.02,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630
Intel Core i3-4160,,2,3.6,,Haswell Refresh,54,Intel HD Graphics 4400
Intel Xeon E5-2698 V4,,20,2.2,3.6,Broadwell,135,
AMD Ryzen 7 PRO 7745,,8,3.8,5.3,Zen 4,65,Radeon
AMD Ryzen 7 PRO 7745,,8,3.8,5.3,Zen 4,65,Radeon
Intel Xeon E5-2697 V2,,12,2.7,3.5,Ivy Bridge,130,
Intel Core 2 Duo E7300,28.2,2,2.66,,Wolfdale,65,
Intel Core i5-750,60,4,2.66,,Nehalem,95,
Intel Core i5-6402P,80,4,2.8,3.4,Skylake,65,Intel HD Graphics 510
Intel Core i5-3350P,,4,3.1,,Ivy Bridge,69,
Intel Core i3-8350K,,4,4,,Coffee Lake,91,Intel UHD Graphics 630
Intel Core i5-8400T,113.37,6,1.7,3.3,Coffee Lake,35,Intel UHD Graphics 630
AMD FX-8320,106.55,8,3.5,,Piledriver,125,
Intel Core 2 Extreme QX9770,,4,3.2,,Yorkfield,136,
Intel Core i5-13600,,14,2.7,5,Raptor Lake,65,Intel UHD Graphics 770
AMD FX-6300,62.51,6,3.5,,Piledriver,95,
Intel Core i7-3770S,95,4,3.1,,Ivy Bridge,65,Intel HD Graphics 4000
Intel Celeron E3400,18.98,2,2.6,,Wolfdale,65,
Intel Core i7-6950X,,10,3,3.5,Broadwell,140,
Intel Core i7-7800X,329.95,6,3.5,4,Skylake,140,
Intel Xeon E5-2670 V3,,12,2.3,3.1,Haswell,120,
Intel Xeon E3-1231 V3,,4,3.4,3.8,Haswell Refresh,80,
Intel Core i7-9800X,,8,3.8,4.5,Skylake,165,
AMD EPYC 4584PX,,16,4.2,5.7,Zen 4,120,Radeon
AMD Phenom II X6 1090T Black,,6,3.2,,K10,125,
Intel Core i5-4570T,65.28,2,2.9,,Haswell,35,Intel HD Graphics 4600
AMD FX-4350,122.96,4,4.2,,Piledriver,125,
Intel Core i7-7700T,504.44,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630
Intel Core i7-980X Extreme Edition,153.64,6,3.33,,Westmere,130,
AMD Threadripper 2970WX,,24,3,4.2,Zen+,250,
Intel Core i7-5820K,429.95,6,3.3,3.6,Haswell,140,
Intel Core i7-4790S,,4,3.2,4,Haswell Refresh,65,Intel HD Graphics 4000
AMD A8-9600,,4,3.1,3.4,Excavator,65,Radeon R7 (on-die)
Intel Xeon E-2236,419.02,6,3.4,4.8,Coffee Lake Refresh,80,
Intel Core i9-9900X,579.99,10,3.5,4.4,Skylake,165,
Intel Xeon E5-2630 V4,295,10,2.2,3.1,Broadwell,85,
Intel Pentium Gold G5420,207.29,2,3.8,,Coffee Lake,54,Intel UHD Graphics 610
Intel Core i7-860,289.97,4,2.8,,Nehalem,95,
Intel Core i5-650,70,2,3.2,,Westmere,73,Intel HD Graphics
Intel Xeon E5-2680 V3,,12,2.5,3.3,Haswell,120,
Intel Core 2 Quad Q9300,42.6,4,2.5,,Yorkfield,95,
Intel Xeon E5-2695 V2,,12,2.4,3.2,Ivy Bridge,115,
Intel Core i5-6500T,229.95,4,2.5,3.1,Skylake,35,Intel HD Graphics 530
Intel Core 2 Quad Q6600,,4,2.4,,Core,100,
AMD Athlon X4 860K,,4,3.7,4,Steamroller,95,
Intel Core i9-9960X,999.99,16,3.1,4.4,Skylake,165,
Intel Core i7-870,100,4,2.93,,Nehalem,95,
Intel Core i7-7820X,489.05,8,3.6,4.5,Skylake,140,
Intel Core i5-2320,,4,3,,Sandy Bridge,95,Intel HD Graphics 2000
AMD FX-6350,,6,3.9,,Piledriver,125,
AMD FX-9370,198.5,8,4.4,4.7,Piledriver,220,
Intel Core i5-9600KF,344.99,6,3.7,4.6,Coffee Lake Refresh,95,
Intel Xeon E3-1270 V3,420,4,3.5,3.9,Haswell,80,
Intel Core i7-3960X Extreme Edition,350,6,3.3,,Sandy Bridge,130,
Intel Core i5-4430,,4,3,,Haswell,84,Intel HD Graphics 4600
Intel Xeon E5-2650 V2,185,8,2.6,3.4,Ivy Bridge,95,
Intel Core i3-3240,111.01,2,3.4,,Ivy Bridge,55,Intel HD Graphics 2500
AMD A6-7400K,89.98,2,3.5,3.9,Steamroller,65,Radeon R5 (on die)
AMD A10-5800K,,4,3.8,,Piledriver,100,Radeon HD 7660D
Intel Xeon E5-2620 V3,88,6,2.4,3.2,Haswell,85,
Intel Core i3-6300,136.28,2,3.8,,Skylake,51,Intel HD Graphics 530
Intel Xeon E5-2697 V3,,14,2.6,3.6,Haswell,145,
Intel Celeron G4920,73,2,3.2,,Coffee Lake,65,Intel UHD Graphics 610
AMD Athlon 3000G (14nm),,2,3.5,,Zen,35,Radeon Vega 3
AMD A8-7680,,4,3.5,3.8,Puma+,65,Radeon R7 (on-die)
Intel Core i5-3550,335,4,3.3,,Ivy Bridge,77,Intel HD Graphics 2500
Intel Core i3-3250,49.12,2,3.5,,Ivy Bridge,55,Intel HD Graphics 2500
Intel Core 2 Quad Q9300,219,4,2.5,,Yorkfield,95,
AMD Phenom II X6 1100T Black,,6,3.3,,K10,125,
Intel Xeon E5-2680,110,8,2.7,3.5,Sandy Bridge,130,
AMD A6-3670K,,4,2.7,,Lynx,100,Radeon HD 6530D
Intel Core i7-6700T,,4,2.8,3.6,Skylake,35,Intel HD Graphics 530
Intel Core 2 Quad Q9650,,4,3,,Yorkfield,95,
Intel Core i5-4590S,,4,3,3.7,Haswell Refresh,65,Intel HD Graphics 4000
Intel Core i9-9940X,,14,3.3,4.4,Skylake,165,
AMD FX-8370,303.33,8,4,4.3,Piledriver,125,
Intel Pentium Gold G6405,75.34,2,4.1,,Comet Lake,58,Intel UHD Graphics 610
Intel Xeon E5-1620 V3,111,4,3.5,3.6,Haswell,140,
AMD FX-8320E,,8,3.2,4,Piledriver,95,
Intel Core i9-7900X,903.6,10,3.3,4.5,Skylake,140,
Intel Xeon E3-1230 V2,265.87,4,3.3,,Ivy Bridge,69,
Intel Core i9-7960X,,16,2.8,4.4,Skylake,165,
Intel Core i5-9500T,,6,2.2,3.7,Coffee Lake Refresh,35,Intel UHD Graphics 630
Intel Core i3-10100T,,4,3,3.8,Comet Lake,35,Intel UHD Graphics 630
Intel Xeon E5-2660 V4,399,14,2,3.2,Broadwell,105,
Intel Core i3-8100,124.9,4,3.6,,Coffee Lake,65,Intel UHD Graphics 630
AMD A10-9700,,4,3.5,3.8,Excavator,65,Radeon R7 (on-die)
AMD A10-6800K,,4,4.1,,Piledriver,100,Radeon HD 8670D
Intel Xeon E3-1246 V3,,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics P4600
AMD A10-7800,,4,3.5,3.9,Steamroller,65,Radeon R7 (on-die)
Intel Xeon E5-2640 V4,,10,2.4,3.4,Broadwell,90,
Intel Core i7-950,100,4,3.06,,Nehalem,130,
Intel Core i7-3970X Extreme Edition,250,6,3.5,,Sandy Bridge,150,
Intel Core i5-7500,,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630
Intel Core i5-9500F,,6,3,4.4,Coffee Lake Refresh,65,
Intel Core i3-4130T,60,2,2.9,,Haswell,35,Intel HD Graphics 4400
Intel Core i5-6400,,4,2.7,3.3,Skylake,65,Intel HD Graphics 530
Intel Core i9-7980XE,1255.03,18,2.6,4.4,Skylake,165,
Intel Core i3-2120T,50,2,2.6,,Sandy Bridge,35,Intel HD Graphics 2000
Intel Celeron G1610,37,2,2.6,,Ivy Bridge,55,Intel HD Graphics
Intel Xeon E5-2695 V4,,18,2.1,3.3,Broadwell,120,
AMD A10-7700K,132.86,4,3.4,3.8,Steamroller,95,Radeon R7 (on-die)
AMD A12-9800,,4,3.8,4.2,Excavator,65,Radeon R7 (on-die)
AMD Ryzen 3 2200G,,4,3.5,3.7,Zen,65,Radeon Vega 8
Intel Core i5-9400,,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630
Intel Xeon E-2176G,1057.23,6,3.7,4.7,Coffee Lake,80,Intel HD Graphics P630
Intel Core i5-8500,130.25,6,3,4.1,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i3-6100,98.95,2,3.7,,Skylake,51,Intel HD Graphics 530
Intel Xeon E5-2620 V4,1006.3,8,2.1,3,Broadwell,85,
Intel Core i3-9300,195,4,3.7,4.3,Coffee Lake Refresh,62,Intel UHD Graphics 630
Intel Core i3-540,60,2,3.06,,Westmere,73,Intel HD Graphics
Intel Core i5-7400,119,4,3,3.5,Kaby Lake,65,Intel HD Graphics 630
Intel Core i5-2300,,4,2.8,,Sandy Bridge,95,Intel HD Graphics 2000
Intel Core i9-9940X,998.95,14,3.3,4.4,Skylake,165,
AMD FX-9590,,8,4.7,5,Piledriver,220,
Intel Core i9-9900T,,8,2.1,4.4,Coffee Lake Refresh,35,Intel UHD Graphics 630
AMD Phenom II X4 820,52.02,4,2.8,,K10,95,
Intel Core i7-990X Extreme Edition,,6,3.467,,Westmere,130,
Intel Core i5-2400S,70,4,2.5,,Sandy Bridge,65,Intel HD Graphics 2000
Intel Core i5-7400T,75,4,2.4,3,Kaby Lake,35,Intel HD Graphics 630
Intel Celeron G530,41.86,2,2.4,,Sandy Bridge,65,Intel HD Graphics
Intel Xeon E5-2690 V3,,12,2.6,3.5,Haswell,135,
Intel Core i5-7600K,,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630
Intel Core i9-10900K,,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630
AMD A10-6700,112.76,4,3.7,,Piledriver,65,Radeon HD 8670D
Intel Core i9-9820X,,10,3.3,4.1,Skylake,165,
Intel Core i9-7940X,,14,3.1,4.4,Skylake,165,
AMD Phenom II X4 965 Black,,4,3.4,,K10,125,
Intel Core i3-4340,60,2,3.6,,Haswell,54,Intel HD Graphics 4600
AMD FX-8150,,8,3.6,,Bulldozer,125,
Intel Xeon E5-2670,,8,2.6,3.3,Sandy Bridge,115,
AMD A8-7650K,,4,3.3,3.7,Steamroller,95,Radeon R7 (on-die)
Intel Xeon E-2288G,,8,3.7,5,Coffee Lake Refresh,95,Intel HD Graphics P630
Intel Core i9-10850K,,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630
AMD Athlon II X4 640,74.79,4,3,,K10,95,
Intel Core 2 Duo E7500,99.63,2,2.93,,Wolfdale,65,
Intel Core i5-760,100,4,2.8,,Nehalem,95,
Intel Core i3-8300,,4,3.7,,Coffee Lake,62,Intel UHD Graphics 630
AMD Phenom II X4 955,,4,3.2,,K10,125,
Intel Xeon E5-1650 V3,,6,3.5,3.8,Haswell,140,
Intel Xeon E3-1240L V5,,4,2.1,3.2,Skylake,25,
AMD A10-7890K,,4,4.1,4.3,Steamroller,95,Radeon R7 (on-die)
Intel Core i3-9100T,,4,3.1,3.7,Coffee Lake Refresh,35,Intel UHD Graphics 630
Intel Core i3-3210,70,2,3.2,,Ivy Bridge,55,Intel HD Graphics 2500
Intel Core i7-4790T,155.86,4,2.7,3.9,Haswell Refresh,45,
Intel Xeon E5-1660 V3,198.95,8,3,3.5,Haswell,140,
Intel Core i3-7100,75.04,2,3.9,,Kaby Lake,51,Intel HD Graphics 630
Intel Core i7-9700T,,8,2,4.3,Coffee Lake Refresh,35,Intel HD Graphics 630
Intel Core i7-5775C,,4,3.3,3.7,Broadwell,65,Iris Pro Graphics 6200
AMD Athlon 200GE,,2,3.2,,Zen,35,Radeon Vega 3
Intel Core i7-4770K,120,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600
AMD A10-5700,72.51,4,3.4,,Piledriver,65,Radeon HD 7660D
Intel Core i3-3225,,2,3.3,,Ivy Bridge,55,Intel HD Graphics 4000
Intel Core i9-9900,,8,3.1,5,Coffee Lake Refresh,65,Intel UHD Graphics 630
Intel Core i7-7740X,135,4,4.3,4.5,Kaby Lake,112,
Intel Xeon E5-2660 V3,149.94,10,2.6,3.3,Haswell,105,
Intel Core i5-3340,,4,3.1,3.3,Ivy Bridge,77,Intel HD Graphics 2500
Intel Xeon E5-2680 V2,,10,2.8,3.6,Ivy Bridge,115,
Intel Pentium G4600,,2,3.6,,Kaby Lake,51,Intel HD Graphics 630
AMD Ryzen 7 2700,,8,3.2,4.1,Zen+,65,
AMD Athlon II X4 630,52.6,4,2.8,,K10,95,
Intel Core i3-2130,86.4,2,3.4,,Sandy Bridge,65,Intel HD Graphics 2000
Intel Xeon E5-2630L V3,410,8,1.8,2.9,Haswell,55,
AMD Athlon X4 750K,,4,3.4,,Piledriver,100,
Intel Celeron G3930T,46.07,2,2.7,,Kaby Lake,35,Intel HD Graphics 610
AMD A8-3870K,,4,3,,Lynx,100,Radeon HD 6550D
Intel Xeon E3-1230 V3,309.88,4,3.3,3.7,Haswell,80,
Intel Xeon E5-2670 V2,,10,2.5,3.3,Ivy Bridge,115,
Intel Pentium Gold G5400T,79.95,2,3.1,,Coffee Lake,35,Intel UHD Graphics 610
Intel Core 2 Quad Q9550,165.51,4,2.83,,Yorkfield,95,
Intel Core i5-2310,,4,2.9,,Sandy Bridge,95,Intel HD Graphics 2000
AMD FX-8120,,8,3.1,,Bulldozer,125,
Intel Xeon E5-2687W,,8,3.1,3.8,Sandy Bridge,150,
AMD FX-4100,,4,3.6,,Bulldozer,95,
Intel Xeon E3-1240 V2,397.94,4,3.4,,Ivy Bridge,69,
Intel Core i3-6098P,59,2,3.6,,Skylake,54,Intel HD Graphics 510
Intel Xeon E5-1650 V2,235.03,6,3.5,3.9,Ivy Bridge,130,
Intel Pentium Gold G6600,69.63,2,4.2,,Comet Lake,58,Intel UHD Graphics 630
Intel Pentium E5300,59.49,2,2.6,,Wolfdale,65,
Intel Xeon E5-2690 V2,,10,3,3.6,Ivy Bridge,130,
Intel Core i7-4790K,,4,4,4.4,Haswell Refresh,88,Intel HD Graphics 4600
Intel Xeon E5-2640 V3,,8,2.6,3.4,Haswell,90,
Intel Core i5-6600,,4,3.3,3.9,Skylake,65,Intel HD Graphics 530
Intel Celeron G3930,53.99,2,2.9,,Kaby Lake,51,Intel HD Graphics 610
Intel Core i5-10600K,,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630
Intel Core i5-7640X,356.7,4,4,4.2,Kaby Lake,112,
Intel Core i7-960,220,4,3.2,,Nehalem,130,
AMD A8-5600K,,4,3.6,,Piledriver,100,Radeon HD 7560D
Intel Core 2 Extreme QX9775,1298,4,3.2,,Yorkfield,150,
Intel Xeon E5-2650L,129.94,8,1.8,2.3,Sandy Bridge,70,
Intel Xeon E5-2643 V3,235.44,6,3.4,3.7,Haswell,135,
Intel Core i3-6100T,,2,3.2,,Skylake,35,Intel HD Graphics 530
Intel Pentium E2140,79.95,2,1.6,,Core,65,
Intel Xeon E3-1220 V3,149.94,4,3.1,3.5,Haswell,80,
AMD Phenom II X4 945,,4,3,,K10,125,
Intel Xeon E5-2690,,8,2.9,3.8,Sandy Bridge,135,
Intel Xeon E5-2687W V2,,8,3.4,4,Ivy Bridge,150,
Intel Core i5-3570,,4,3.4,,Ivy Bridge,77,Intel HD Graphics 2500
Intel Core i5-9600K,,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630
AMD Ryzen 3 1200 (12nm),,4,3.1,3.4,Zen+,65,
Intel Core i7-5930K,529.95,6,3.5,3.7,Haswell,140,
Intel Xeon E5-2695 V3,498.95,14,2.3,3.3,Haswell,120,
Intel Core i7-2600S,235,4,2.8,,Sandy Bridge,65,Intel HD Graphics 2000
Intel Core i5-2380P,70,4,3.1,,Sandy Bridge,95,
Intel Pentium E5800,58,2,3.2,,Wolfdale,65,
Intel Core 2 Duo E4300,,2,1.8,,Core,65,
Intel Pentium E5400,,2,2.7,,Wolfdale,65,
AMD A8-5500,,4,3.2,,Piledriver,65,Radeon HD 7560D
Intel Core i5-4570S,,4,2.9,,Haswell,65,Intel HD Graphics 4600
Intel Xeon E3-1240 V3,,4,3.4,3.8,Haswell,80,
AMD FX-4300,,4,3.8,,Piledriver,95,
Intel Xeon E5-1620 V2,,4,3.7,3.9,Ivy Bridge,130,
AMD Athlon X4 950,,4,3.5,3.8,Excavator,65,
Intel Core i9-10850KA Avengers Limited Edition,,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630
Intel Pentium G630,37.49,2,2.7,,Sandy Bridge,65,Intel HD Graphics
Intel Core i5-8500,,6,3,4.1,Coffee Lake,65,Intel UHD Graphics 630
AMD Phenom II X6 1055T,,6,2.8,,K10,125,
Intel Core 2 Duo E7400,,2,2.8,,Wolfdale,65,
Intel Celeron G440,,1,1.6,,Sandy Bridge,35,Intel HD Graphics
Intel Core i7-4771,,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600
Intel Pentium G2030,,2,3,,Ivy Bridge,55,Intel HD Graphics
Intel Core i5-6400T,,4,2.2,2.8,Skylake,35,Intel HD Graphics 530
Intel Core i3-7100T,,2,3.4,,Kaby Lake,35,Intel HD Graphics 630
AMD Athlon II X4 635,58.02,4,2.9,,K10,95,
Intel Core i5-8600,269.95,6,3.1,4.3,Coffee Lake,65,Intel UHD Graphics 630
AMD Athlon II X4 620,59.49,4,2.6,,K10,95,
Intel Xeon E5-2650 V3,,10,2.3,3,Haswell,105,
AMD Athlon II X2 220,,2,2.8,,K10,65,
Intel Core 2 Duo E8500,,2,3.16,,Wolfdale,65,
Intel Core i5-4690K,,4,3.5,3.9,Haswell Refresh,88,Intel HD Graphics 4600
Intel Core i5-7600,,4,3.5,4.1,Kaby Lake,65,Intel HD Graphics 630
Intel Xeon E-2176G,446.9,6,3.7,4.7,Coffee Lake,80,Intel HD Graphics P630
Intel Xeon E5-1620 V4,232.12,4,3.5,3.8,Broadwell,140,
Intel Xeon E-2136,891.7,6,3.3,4.5,Coffee Lake,80,
Intel Celeron 440,62.75,1,2,,Core,35,
Intel Core i7-930,144.94,4,2.8,,Nehalem,130,
Intel Core 2 Extreme QX9650,152.52,4,3,,Yorkfield,130,
Intel Core i3-550,,2,3.2,,Westmere,73,Intel HD Graphics
AMD A10-7860k,,4,3.6,4,Steamroller,65,Radeon R7 (on-die)
Intel Core i7-7700T,,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630
Intel Core i5-8600T,,6,2.3,3.7,Coffee Lake,35,Intel UHD Graphics 630
AMD Threadripper 2990WX,,32,3,4.2,Zen+,250,
Intel Core 2 Quad Q6600,89.95,4,2.4,,Core,100,
AMD Athlon II X2 250,,2,3,,K10,65,
AMD A4-5300,,2,3.4,,Piledriver,65,Radeon HD 7480D
AMD Threadripper 2920X,,12,3.5,4.3,Zen+,180,
AMD A12-9800E,138.02,4,3.1,3.8,Excavator,35,Radeon R7 (on-die)
Intel Core i3-10320,139.99,4,3.8,4.6,Comet Lake,65,Intel UHD Graphics 630
Intel Core i3-560,60,2,3.333,,Westmere,73,Intel HD Graphics
Intel Celeron G3900,69.88,2,2.8,,Skylake,51,Intel HD Graphics 510
Intel Celeron E3200,,2,2.4,,Wolfdale,65,
Intel Core 2 Duo E8600,,2,3.33,,Wolfdale,65,
AMD A6-5400K,,2,3.6,,Piledriver,65,Radeon HD 7540D
AMD 3850,,4,1.3,,Jaguar,25,Radeon HD 8280
Intel Xeon E3-1271 V3,,4,3.6,4,Haswell Refresh,80,
Intel Xeon E5-1620,,4,3.6,3.8,Sandy Bridge,130,
Intel Xeon E5-2667 V2,,8,3.3,4,Ivy Bridge,130,
