name,price,interface,color
TP-Link TG-3468,14.99,PCIe x1,
StarTech ST10GPEXNDPI,456.99,PCIe x4,Black / Silver
Asus XG-C100C,90.73,PCIe x4,
Intel X540-T2,84.99,PCIe x8,
TP-Link TX201,26.99,PCIe x1,Black / Gold
TP-Link TX401,79.98,PCIe x4,Red
Intel X520-DA1,99,PCIe x8,Green
Intel X550-T2,180,PCIe x4,
Intel EXPI9301CTBLK,33,PCIe x1,
Intel E1G44ET2BLK,349.95,PCIe x4,
TP-Link UE306,9.99,USB Type-A 3.2 Gen 1,Black
Syba SD-PEX24066,29.97,PCIe x1,Green / Black
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter,79.98,PCIe x4,Green / Silver
Intel E1G42ETBLK,51,PCIe x4,
Gigabyte GC-AQC107,,PCIe x4,Black / White
Intel E1G44HTBLK,66,PCIe x4,
SIIG LB-GE0311-S1,,PCIe x8,Black / Green
TP-Link UE300,9.99,USB Type-A 3.2 Gen 1,
Intel EXPI9301CT,63,PCIe x1,
QNAP QXG5G1T111C,99,PCIe x1,Blue / Silver
StarTech ST10GSPEXNB2,167.54,PCIe x2,Silver / Black
Intel I226T1,79.38,PCIe x1,Green
Monoprice 112909,16.98,USB Type-C 3.2 Gen 2,White
Syba SI-PEX24042,36.99,PCIe x1,Green / Black
Intel X710-T2L,261.93,PCIe x8,Green / Black
StarTech ST1000SPEX42,341.44,PCIe x4,
StarTech ST10GSPEXNDP2,280.08,PCIe x4,Black / Silver
QNAP QXG2G2TI225,79,PCIe x2,Green / Copper
TRENDnet TEG-25GECTX,24.99,PCIe x1,Blue
Syba SD-PEX24055,89.99,PCIe x4,Green / Black
EDUP EP-9602GS,17.98,PCIe x1,Black
Asus USB-C2500,29.99,USB Type-A 3.2 Gen 1,Gray
QLogic QLE3242-CU-CK,,PCIe x8,
Supermicro AOC-STG-i2T,,PCIe x8,
QNAP QXG-10G1T,139,PCIe x4,
StarTech ST1000SPEX2L,22.77,PCIe x1,
Intel X520-T2,,PCIe x8,Green / Black
Syba SY-HUB24047,47.99,USB Type-A 3.2 Gen 1,Black
StarTech ST2GPEX,33.78,PCIe x1,Black
Syba SY-ADA24029,9.99,USB Type-A 2.0,
StarTech ST1000SPEX4,345.99,PCIe x4,
StarTech ST2000PEXPSE,150.19,PCIe x1,
Intel EXPI9404PTLBLK-1PK,,PCIe x4,
StarTech USB32000SPT,58.99,USB Type-A 3.2 Gen 1,
Asus PCE-C2500,,PCIe x1,Red
SIIG LB-GE0211-S1,152.88,PCIe x4,Green / Black
Intel E1G44HT,124.5,PCIe x4,
Belkin F5D5000,8.83,PCI,
Asus ROG AREION,,PCIe x4,Black
StarTech ST10GSPEXNB,196.95,PCIe x4,Black
TP-Link TG-3269,,PCI,
StarTech US2GC30,42.99,USB Type-C 3.2 Gen 1,Silver
Syba SY-PEX24028,46.43,PCIe x1,
Belkin F2CU040btBLK,20.55,USB Type-C 3.2 Gen 1,
Intel EXPI9404PTLBLK,,PCIe x4,
TRENDnet TUC-ET2G,21.99,USB Type-C 3.2 Gen 1,Black
Belkin B2B145-BLK,23.82,USB Type-C 3.2 Gen 1,Black
TP-Link UE300C,12.99,USB Type-C,Black
D-Link DGE-560T,,PCIe x1,
Intel E10G42BT,,PCIe x8,
Syba SD-PEX24065,39.99,PCIe x1,Green
Lenovo 7ZT7A00482,104,PCIe x1,Green / Black
Edimax EU-4208,10.99,USB Type-A 2.0,
Intel EXPI9402PTG2P20,69.61,PCIe x4,Green / Black
StarTech ST1000SPEX2,22.59,PCIe x1,
Syba SY-PEX24045,85.11,PCIe x4,Green / Black
Gigabyte GC-AQC113C 10G,,PCIe x4,White / Silver
Intel EXPI9404PTL,,PCIe x4,
Intel PWLA8391GT,39,PCI,
D-Link DXE-820T,,PCIe x8,
SIIG LB-GE0014-S1,112.44,PCIe x4,Green / Black
StarTech PEX100S,17.95,PCIe x1,
Plugable USB3-E1000,16.95,USB Type-A 3.2 Gen 1,
Syba SY-ADA24027,19.95,USB Type-A 2.0,
VisionTek Bigfoot Killer 2100,,PCIe x1,
Tripp Lite U436-000-GB,22.62,USB Type-C 3.2 Gen 1,Black
Lenovo 4X90E51405,25.69,USB Type-A 3.2 Gen 1,
QNAP QXG-2G1T-I225,69,PCIe x1,Green / Silver
StarTech ST10GSPEXNDP,,PCIe x8,Black / Silver
Intel EXPI9402PT,,PCIe x4,
StarTech ST1000SPEXD3,96,PCIe x1,
Supermicro AOC-SG-i2,,PCIe x4,
Syba SY-ADA24040,,USB Type-A 3.2 Gen 1,
Linksys USB3GIG,,USB Type-A 3.2 Gen 1,Black
SIIG LB-GE0611-S1,49.99,PCIe x1,Green / Black
StarTech ST1000BT32,33.94,PCI,
Syba SY-PEX24030,22.65,PCIe x1,
Intel PWLA8492MT,87.99,PCI-X,
Plugable USBC-E1000,18.95,USB Type-C 3.2 Gen 1,
D-Link DUB-1312,43.59,USB Type-A 3.2 Gen 1,Black
Tripp Lite U436-06N-2P5,36.6,USB Type-C 3.2 Gen 1,Black
StarTech USB31000S2,25.99,USB Type-A 3.2 Gen 1,Black / Silver
Rosewill RC-404,,PCI,
SIIG CN-GP2011-S1,,PCIe x1,
D-Link DFE530TX+,9,PCI,
Acer NP.OTH11.005,,USB Type-A 2.0,
StarTech ST3300U3S,45.83,USB Type-A 3.2 Gen 1,
StarTech USB31000NDS,30.99,USB Type-A 3.2 Gen 1,
Intel E1G42ET,,PCIe x4,
StarTech USB21000S2,58.99,USB Type-A 2.0,
StarTech USB31000SPTW,32.17,USB Type-A 3.2 Gen 1,
SIIG CN-GP1111-S1,,PCIe x4,
V7 V7UCRJ45-BLK-1N,24.99,USB Type-C 3.2 Gen 1,Black
Edimax EN-9320TX-E,,PCIe x4,Silver / Green
TP-Link UE305,,USB Type-A 3.2 Gen 1,Black
TRENDnet TEG-PCITXR,14.99,PCI,
Intel E1G44ET2,,PCIe x4,
Intel PWLA8391GTBLK,45.99,PCI,
Intel PWLA8391GTLBLK,50,PCI,
Intel PWLA8490MTBLK,,PCI-X,
StarTech USB31000S,24.73,USB Type-A 3.2 Gen 1,
StarTech ST1000SPEX,,PCIe x1,
Belkin F4U047-RS,,USB Type-A 2.0,
Syba SD-PEX24009,,PCIe x1,
D-Link DGE-530T,,PCI,
D-Link DUB-E100,43.92,USB Type-A 2.0,
Netgear GA311,34.9,PCI,
StarTech USB31000SW,17.98,USB Type-A 3.2 Gen 1,
Syba SD-ADA24032,,USB Type-A 3.2 Gen 1,
Cisco N2XX-ABPCI03-M3=,,PCIe x4,
StarTech USB31000SPTB,33.84,USB Type-A 3.2 Gen 1,
TP-Link TF-3239DL,,PCI,
Edimax EN-9130TXL,,PCI,
Syba SI-ADA24037,,USB Type-A 3.2 Gen 1,
StarTech ST10000SPEX,,PCIe x4,
SIIG CN-GP4111-S1,,PCIe x4,
Syba SY-PEX24056,,PCIe x4,Green / Black
SIIG JU-NE0621-S2,,USB Type-A 3.2 Gen 1,White
HP E0X95AA,,PCIe x1,Green
Rosewill RC-400,,PCI,
Rosewill RNF-405U,,USB Type-A 2.0,
Rosewill RNG-406U,,USB Type-A 3.2 Gen 1,
StarTech ST100S,,PCI,
Syba SY-ADA24024,,USB Type-A 2.0,
TRENDnet TE100-PCIWN,,PCI,
Intel EXPI9402PTBLK-1PK,,PCIe x4,
Intel PWLA8391GTBLK-1PK,,PCI,
Intel PWLA8492MTBLK5,,PCI-X,
Rosewill RC-400-LX,23.99,PCI,
SIIG CN-GP1011-S3,,PCI,
StarTech ST1000SPEXD2,,PCIe x1,
Syba SY-ADA24005,,USB Type-A 2.0,
SIIG CN-GP1021-S3,31.33,PCIe x1,
Asus NX1101,,PCI,
Rosewill RC-401-EX,,PCIe x1,
Rosewill RC-402,,PCI,
Edimax EU-4306,,USB Type-A 3.2 Gen 1,
Rosewill RC-411,,PCIe x1,
Rosewill RNG-407-Dual,,PCIe x1,
SIIG CN-GP4011-S1,,PCIe x4,
SIIG JU-NE0511-S1,,USB Type-A 3.2 Gen 1,
SIIG JU-NE0711-S1,,USB Type-A 3.2 Gen 1,Black
Rosewill RC-NIC416Dual,,PCIe x4,Black / Silver
Supermicro SGP-i4,,PCIe x4,Green / Silver
Rosewill RNG-408U,,USB Type-C 3.2 Gen 1,Black
Rosewill RC-20001,,PCIe x1,Black
